OBJECTID,SUBZONE_N,PLN_AREA_N,TOTAL,BET0TO4,BET5TO9,BET10TO14,BET15TO19,BET20TO24,BET25TO29,BET30TO34,BET35TO39,BET40TO44,BET45TO49,BET50TO54,BET55TO59,BET60TO64,BET65TO69,BET70TO74,BET75TO79,BET80TO84,OVER85,INC_CRC,FMEL_UPD_D,X_ADDR,Y_ADDR,SHAPE_Leng,SHAPE_Area
1,PASIR PANJANG 1,QUEENSTOWN,4090.00000000000,210.00000000000,210.00000000000,190.00000000000,220.00000000000,260.00000000000,290.00000000000,310.00000000000,350.00000000000,370.00000000000,350.00000000000,330.00000000000,290.00000000000,250.00000000000,210.00000000000,100.00000000000,80.00000000000,40.00000000000,50.00000000000,3470490CA5ED5ED5,2016/09/22,22077.33830000000,29893.78120000000,6571.32308202000,1084792.32058999990
2,QUEENSWAY,QUEENSTOWN,280.00000000000,0.00000000000,10.00000000000,10.00000000000,10.00000000000,20.00000000000,20.00000000000,20.00000000000,20.00000000000,30.00000000000,30.00000000000,30.00000000000,10.00000000000,30.00000000000,20.00000000000,10.00000000000,10.00000000000,0.00000000000,0.00000000000,FB54F4357BE67F19,2016/09/22,24168.31060000000,30104.17680000000,3454.23928341000,631644.28929800005
3,KENT RIDGE,QUEENSTOWN,1020.00000000000,20.00000000000,50.00000000000,60.00000000000,40.00000000000,60.00000000000,90.00000000000,80.00000000000,60.00000000000,80.00000000000,100.00000000000,90.00000000000,80.00000000000,80.00000000000,70.00000000000,30.00000000000,30.00000000000,10.00000000000,0.00000000000,94BC564228E23B53,2016/09/22,23464.84090000000,29725.37060000000,7439.54765630000,1826848.56058000000
4,ALEXANDRA NORTH,BUKIT MERAH,1040.00000000000,60.00000000000,70.00000000000,50.00000000000,60.00000000000,40.00000000000,70.00000000000,80.00000000000,130.00000000000,120.00000000000,120.00000000000,70.00000000000,50.00000000000,40.00000000000,30.00000000000,20.00000000000,20.00000000000,0.00000000000,0.00000000000,026E408A08774C44,2016/09/22,26548.25070000000,30519.39220000000,2907.05146074000,293706.39880400000
5,MARINA EAST,MARINA EAST,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,7463501529F5588E,2016/09/22,32344.04890000000,30103.24950000000,6470.94964274000,1844060.67467999990
6,INSTITUTION HILL,RIVER VALLEY,3370.00000000000,220.00000000000,220.00000000000,190.00000000000,140.00000000000,140.00000000000,190.00000000000,260.00000000000,370.00000000000,430.00000000000,310.00000000000,230.00000000000,160.00000000000,170.00000000000,170.00000000000,70.00000000000,60.00000000000,30.00000000000,20.00000000000,968058E7DBF88DE0,2016/09/22,28465.39990000000,30711.21790000000,2842.52550488000,392563.33976000000
7,ROBERTSON QUAY,SINGAPORE RIVER,2570.00000000000,210.00000000000,180.00000000000,130.00000000000,90.00000000000,90.00000000000,90.00000000000,210.00000000000,380.00000000000,350.00000000000,280.00000000000,170.00000000000,120.00000000000,90.00000000000,90.00000000000,50.00000000000,30.00000000000,10.00000000000,20.00000000000,02C8BC60AF270A60,2016/09/22,28416.84770000000,30409.36070000000,4995.75811436000,506588.95975099999
8,JURONG ISLAND AND BUKOM,WESTERN ISLANDS,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,ABD85893C9C1E93D,2016/09/22,13012.88050000000,27225.86740000000,68083.93647080001,36707720.91879999600
9,SUDONG,WESTERN ISLANDS,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,A965FC9A31E3830D,2016/09/22,15931.75860000000,19579.06900000000,24759.06579730000,4207271.09353000020
10,SEMAKAU,WESTERN ISLANDS,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,A2E0D90D15965CCC,2016/09/22,21206.33380000000,20465.80750000000,18703.68114040000,4963787.10446999970
11,SOUTHERN GROUP,SOUTHERN ISLANDS,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,BACB3C62C91E1613,2016/09/22,29815.09000000000,23412.58660000000,25626.97718970000,2206319.45627000000
12,SENTOSA,SOUTHERN ISLANDS,1600.00000000000,100.00000000000,90.00000000000,100.00000000000,100.00000000000,80.00000000000,70.00000000000,80.00000000000,120.00000000000,170.00000000000,210.00000000000,190.00000000000,130.00000000000,80.00000000000,50.00000000000,20.00000000000,20.00000000000,0.00000000000,10.00000000000,B8573FD9FE81518D,2016/09/22,27593.93930000000,25813.35460000000,17496.19373690000,4919132.36978000030
