SUBZONE_C,SUBZONE_N,PLN_AREA_N,TOTAL_POPULATION,% POPULATION,CHILDREN_0_9,% CHILDREN,ADOLESCENT_10_19,% ADOLESCENT,ADULT_20_34,,SENIOR_35_59,,ELDERLY_60_ABOVE,,X_COORDINATE,Y_COORDINATE,SHAPE_Leng,SHAPE_Area
THSZ01,TENGAH,TENGAH,0,0,0,0,0,0,0,0,0,0,0,0,16363.1893,38432.5474,12808.87653,7370557.682
TMSZ01,TAMPINES NORTH,TAMPINES,0,0,0,0,0,0,0,0,0,0,0,0,39763.9423,38698.1692,7128.355391,2543106.634
TMSZ02,TAMPINES EAST,TAMPINES,137580,100,11940,8.68,15730,11.43,32200,23.40,52290,38.01,25420,18.48,41122.547,37392.389,10180.62409,4339824.136
TMSZ03,TAMPINES WEST,TAMPINES,77840,100,7120,9.15,9180,11.79,18240,23.43,29600,38.03,13700,17.60,39421.6571,36739.2069,8058.33566,3475209.889
TMSZ04,SIMEI,TAMPINES,41880,100,3930,9.38,4860,11.60,9080,21.68,16700,39.88,7310,17.45,41431.0631,35870.7852,7402.560779,2778635.655
TMSZ05,XILIN,TAMPINES,1830,100,110,6.01,240,13.11,430,23.50,780,42.62,270,14.75,43110.6141,34607.3132,12926.04699,7833992.845
TNSZ01,NASSIM,TANGLIN,8750,100,1160,13.26,1010,11.54,1280,14.63,3690,42.17,1610,18.40,27002.6928,32905.576,6241.332877,2096085.23
TNSZ02,CHATSWORTH,TANGLIN,6020,100,700,11.63,570,9.47,960,15.95,2760,45.85,1030,17.11,26896.4019,31045.0187,5469.441095,1346152.777
TNSZ03,RIDOUT,TANGLIN,1390,100,130,9.35,140,10.07,250,17.99,540,38.85,330,23.74,25568.3077,31752.6686,6450.972879,1951865.755
TNSZ04,TYERSALL,TANGLIN,3580,100,390,10.89,410,11.45,590,16.48,1440,40.22,750,20.95,25732.6536,32985.8494,6430.986147,2158289.716
TPSZ01,TOA PAYOH WEST,TOA PAYOH,12950,100,820,6.33,1090,8.42,2250,17.37,5020,38.76,3770,29.11,28943.1923,35787.3478,4516.839966,1037281.094
TPSZ02,TOA PAYOH CENTRAL,TOA PAYOH,30280,100,3330,11.00,2950,9.74,5560,18.36,12020,39.70,6420,21.20,29409.7438,34982.1962,5201.968752,1107267.036
