SUBZONE_C,SUBZONE_N,PLN_AREA_N,TOTAL_POPULATION,CHILDREN_0_9,ADOLESCENT_10_19,ADULT_20_34,SENIOR_35_59,ELDERLY_60_ABOVE,X_COORDINATE,Y_COORDINATE,SHAPE_Leng,SHAPE_Area
OTSZ04,CHINA SQUARE,OUTRAM,1540,60,80,260,570,570,29509.6437,29646.4495,1605.279697,133006.936
OTSZ03,CHINATOWN,OUTRAM,11550,1580,760,1850,4740,2620,29153.9676,29158.0443,4297.59991,587222.6789
CKSZ03,CHOA CHU KANG CENTRAL,CHOA CHU KANG,21870,2000,3040,4910,8980,2940,18465.672,40772.9207,4202.496608,1097298.799
CKSZ05,CHOA CHU KANG NORTH,CHOA CHU KANG,34000,2690,5880,7610,13790,4030,18347.5682,41593.7648,4552.314746,1088638.014
AMSZ03,CHONG BOON,ANG MO KIO,27140,1820,2460,5000,10340,7520,30485.5109,38478.993,4710.53873,1078622.324
DTSZ02,CITY HALL,DOWNTOWN CORE,0,0,0,0,0,0,30209.0736,30536.5079,4544.169847,710568.7029
BMSZ17,CITY TERMINALS,BUKIT MERAH,0,0,0,0,0,0,28387.3388,27536.5671,16805.6555,3449640.607
SRSZ02,CLARKE QUAY,SINGAPORE RIVER,110,10,10,20,60,10,29253.2073,30222.8645,2208.619299,290184.6527
CLSZ06,CLEMENTI CENTRAL,CLEMENTI,13230,1160,1320,2310,5180,3260,20183.4496,32707.5394,3630.189223,748043.2767
CLSZ04,CLEMENTI NORTH,CLEMENTI,29100,2310,2470,5370,10900,8050,20613.245,33368.8225,4251.445365,991039.7807
CLSZ08,CLEMENTI WEST,CLEMENTI,16470,1470,1650,3000,6550,3800,20184.3508,31651.8834,5211.867528,697501.7143
CLSZ07,CLEMENTI WOODS,CLEMENTI,16360,1690,1590,3240,6070,3770,20764.198,31824.7421,5275.74936,1053493.747
DTSZ06,CLIFFORD PIER,DOWNTOWN CORE,0,0,0,0,0,0,30379.5041,29776.4334,2405.990925,261843.8968
QTSZ03,COMMONWEALTH,QUEENSTOWN,7960,570,650,1420,3020,2300,24278.7709,31919.97,2713.429971,310513.6474
SESZ05,COMPASSVALE,SENGKANG,18680,3640,1670,3980,7480,1910,34304.2505,40761.0908,5216.01738,1093213.491
PGSZ07,CONEY ISLAND,PUNGGOL,0,0,0,0,0,0,37928.4976,43351.3743,5670.137057,1200804.563
BTSZ06,CORONATION ROAD,BUKIT TIMAH,6250,780,780,990,2350,1350,24463.149,34200.3339,5905.904193,1425083.177
KLSZ09,CRAWFORD,KALLANG,9620,590,680,1420,3530,3400,31396.8906,31457.287,4634.784296,850853.9138
BPSZ06,DAIRY FARM,BUKIT PANJANG,5790,570,790,1190,2350,890,21181.12,38939.8375,4814.195375,1235901.752
HGSZ09,DEFU INDUSTRIAL PARK,HOUGANG,0,0,0,0,0,0,34951.3961,37089.433,8517.596169,1974371.712
BMSZ12,DEPOT ROAD,BUKIT MERAH,5360,630,500,880,2260,1090,25244.2071,29407.094,4281.172681,442502.8276
MUSZ01,DHOBY GHAUT,MUSEUM,210,20,0,50,120,20,29320.0735,31245.7483,2584.78831,221973.3418
QTSZ10,DOVER,QUEENSTOWN,12620,1340,1410,2300,4910,2660,22015.5324,31800.5247,5637.722008,1386643.316
NVSZ04,DUNEARN,NOVENA,3940,380,540,620,1470,930,26525.5278,34268.8547,4827.408264,1229894.417
MPSZ04,EAST COAST,MARINE PARADE,0,0,0,0,0,0,36386.5261,31338.9016,5333.008671,591778.9997
BMSZ16,EVERTON PARK,BUKIT MERAH,9080,790,780,1600,3450,2460,28333.5771,28602.9926,3776.683388,635704.0567
CLSZ03,FABER,CLEMENTI,4330,450,580,830,1660,810,19489.6559,33800.8662,4665.755981,948158.9135
BPSZ03,FAJAR,BUKIT PANJANG,28570,3720,3370,7050,10490,3940,21080.9573,40748.0926,3800.608941,668454.4393
BTSZ08,FARRER COURT,BUKIT TIMAH,5580,730,630,880,2250,1090,24862.8217,33234.7951,4192.289528,558760.5316
RCSZ01,FARRER PARK,ROCHOR,3020,250,280,510,1220,760,30093.4152,32386.2107,2540.960363,247887.633
SESZ06,FERNVALE,SENGKANG,44560,8730,4100,11080,15860,4790,32806.2915,41896.3685,6491.767944,2391082.765
PRSZ08,FLORA DRIVE,PASIR RIS,13950,1350,1880,2720,5860,2140,42801.7349,37930.5489,3956.615777,944998.4489
MUSZ02,FORT CANNING,MUSEUM,160,20,20,10,80,30,29413.9718,30713.0723,2585.229404,385093.1134
BDSZ05,FRANKEL,BEDOK,33730,3610,3770,5870,13370,7110,37694.5519,33007.2679,8750.386291,4297140.714
SKSZ03,GALI BATU,SUNGEI KADUT,130,0,0,0,20,110,20165.0687,42429.2408,9036.682771,5186128.077
KLSZ02,GEYLANG BAHRU,KALLANG,12650,870,1250,2160,5090,3280,32110.0626,33765.6746,3745.034017,735502.2264
GLSZ05,GEYLANG EAST,GEYLANG,32740,3030,3080,6530,12450,7650,35237.1681,33246.0587,7028.340071,2579087.17
QTSZ01,GHIM MOH,QUEENSTOWN,11800,1090,1050,2150,4110,3400,22899.1897,32579.9353,3223.645504,485046.9227
BKSZ01,GOMBAK,BUKIT BATOK,9940,1190,1060,1950,3890,1850,19560.7028,39034.544,7921.557211,2459098.265
NTSZ02,GOODWOOD PARK,NEWTON,1010,140,120,150,440,160,28108.8807,32875.267,2798.598501,351242.2536
WDSZ07,GREENWOOD PARK,WOODLANDS,0,0,0,0,0,0,22608.3894,47660.0645,4620.865567,1281296.51
BKSZ04,GUILIN,BUKIT BATOK,13320,1170,1600,2720,5530,2300,19151.8276,37505.9793,5564.333231,1085080.083
PNSZ04,GUL BASIN,PIONEER,0,0,0,0,0,0,10327.4233,31746.7616,9465.222183,1769495.161
PNSZ02,GUL CIRCLE,PIONEER,0,0,0,0,0,0,9693.9712,33074.429,7268.450752,3260399.459
BMSZ08,HENDERSON HILL,BUKIT MERAH,12260,1020,1130,2140,4430,3540,26782.8261,29933.7651,3313.624904,595428.886
BTSZ05,HILLCREST,BUKIT TIMAH,8930,1080,1210,1290,3660,1690,25207.8426,35039.2942,7428.700261,2636483.259
BKSZ05,HILLVIEW,BUKIT BATOK,18300,1420,2650,3620,7590,3020,20276.6529,37526.4582,6673.934004,1990788.397
QTSZ02,HOLLAND DRIVE,QUEENSTOWN,14000,960,1090,2300,5370,4280,23711.437,32294.7721,3420.329337,459546.2858
BTSZ03,HOLLAND ROAD,BUKIT TIMAH,10280,1210,1480,1600,4170,1820,22485.0193,34364.2896,8185.197323,3392897.364
JWSZ03,HONG KAH,JURONG WEST,55900,4530,6470,11870,21510,11520,15507.9346,36890.281,5589.784561,1793463.631
BKSZ02,HONG KAH NORTH,BUKIT BATOK,27880,2270,3200,6300,11160,4950,18505.4653,38307.4684,3842.99403,859179.1801
HGSZ01,HOUGANG CENTRAL,HOUGANG,4730,310,600,1050,1820,950,34470.7005,39076.5963,2759.815466,441733.4402
HGSZ03,HOUGANG EAST,HOUGANG,22740,2080,2260,6020,8520,3860,35128.0008,39812.3857,3960.446862,842667.6261
HGSZ04,HOUGANG WEST,HOUGANG,48560,3230,4900,11470,18960,10000,33849.2205,39506.8724,6424.482139,1328876.198
RVSZ05,INSTITUTION HILL,RIVER VALLEY,3380,440,330,590,1500,520,28465.3999,30711.2179,2842.525505,392563.3398
JESZ06,INTERNATIONAL BUSINESS PARK,JURONG EAST,0,0,0,0,0,0,18514.5995,34285.7972,3024.275837,485022.3064
NTSZ06,ISTANA NEGARA,NEWTON,0,0,0,0,0,0,29226.8284,31963.2894,3730.341054,543483.681
BPSZ05,JELEBU,BUKIT PANJANG,32690,2550,4230,7180,13040,5690,20535.3901,39769.4445,3992.426031,911208.285
PNSZ01,JOO KOON,PIONEER,0,0,0,0,0,0,10883.9466,34203.6959,8601.202816,2349378.266
TPSZ12,JOO SENG,TOA PAYOH,6670,560,620,1250,2550,1690,33454.069,35419.7276,4254.531333,1057165.244
JESZ05,JURONG GATEWAY,JURONG EAST,0,0,0,0,0,0,17912.9778,35033.9061,3096.98411,554623.6757
WISZ01,JURONG ISLAND AND BUKOM,WESTERN ISLANDS,0,0,0,0,0,0,13012.8805,27225.8674,68083.93647,36707720.92
JESZ09,JURONG PORT,JURONG EAST,0,0,0,0,0,0,15250.7433,32183.916,11355.00222,2464856.701
JESZ07,JURONG RIVER,JURONG EAST,0,0,0,0,0,0,16367.556,33519.9926,6612.903231,2560995.937
JWSZ09,JURONG WEST CENTRAL,JURONG WEST,67430,8550,8330,14430,27790,8330,13396.6261,35811.7261,4649.79715,1404536.643
